,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
56,Colombia,JUGANDO FIFA CON LA CHICA DE MI CITA A CIEGAS 🥵,People & Blogs,50.0,Colombia,,60.3,61.4,61.7,62.7,64.1,64.6,63.8,66.1,64.5,63.9,62.3,61.6,59.8,63.5,57.1,52.9,56.3
57,Colombia,I Built a SECRET 7-11 in My Room!,People & Blogs,50.0,Colombia,,60.3,61.4,61.7,62.7,64.1,64.6,63.8,66.1,64.5,63.9,62.3,61.6,59.8,63.5,57.1,52.9,56.3
58,Ecuador,I Built a SECRET 7-11 in My Room!,People & Blogs,50.0,Ecuador,,50.2,50.0,53.0,60.2,58.4,58.0,59.6,60.2,59.5,59.6,61.1,58.4,61.3,58.1,53.5,54.4,55.6
59,Mexico,ASÍ NOS DIVERTIMOS EN LA ESQUINA QUE PREDOMINA CON LOS TOYS HACIENDO HOT DOGS 🌭/MAYVE CASTRO‼️,People & Blogs,50.0,Mexico,65.8,,65.3,68.3,69.6,68.0,69.1,73.2,74.4,66.8,62.4,68.2,64.1,65.5,64.3,59.6,59.9,63.3
60,Peru,I Built a SECRET 7-11 in My Room!,People & Blogs,50.0,Peru,,48.1,52.1,51.3,55.2,56.1,58.9,58.3,57.8,58.7,55.8,57.0,57.1,56.8,60.0,49.9,56.9,55.3
61,Paraguay,I Built a SECRET 7-11 in My Room!,People & Blogs,50.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
62,El Salvador,Llegó al ESPACIO 😱,People & Blogs,50.0,El Salvador,,57.0,53.0,51.9,68.4,67.4,47.4,59.3,63.3,58.6,60.2,61.4,63.4,62.4,64.5,54.6,64.3,61.2
63,Venezuela,I Built a SECRET 7-11 in My Room!,People & Blogs,50.0,Venezuela,71.7,65.3,,62.6,71.9,74.8,65.8,70.7,65.5,61.4,55.7,40.4,50.7,50.1,50.8,45.7,51.1,52.1
64,Estonia,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Estonia,,53.7,53.3,54.5,51.4,,54.9,53.6,53.7,55.6,56.3,56.5,59.4,60.9,60.4,64.5,65.5,64.5
65,Estonia,"Хованский — побег из России, донат от Мелстроя, концерт Моргена, свадьба и гайд на скуфа",People & Blogs,50.0,Estonia,,53.7,53.3,54.5,51.4,,54.9,53.6,53.7,55.6,56.3,56.5,59.4,60.9,60.4,64.5,65.5,64.5
66,Finland,Se frendi joka matkii sua vähä liikaa,People & Blogs,50.0,Finland,,76.7,,76.7,,73.9,73.5,74.2,74.5,73.8,74.5,76.6,77.9,78.6,77.8,78.9,77.9,78.0
67,Finland,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Finland,,76.7,,76.7,,73.9,73.5,74.2,74.5,73.8,74.5,76.6,77.9,78.6,77.8,78.9,77.9,78.0
68,Finland,Testataan KAIKKI juustonaksut!,People & Blogs,50.0,Finland,,76.7,,76.7,,73.9,73.5,74.2,74.5,73.8,74.5,76.6,77.9,78.6,77.8,78.9,77.9,78.0
69,Philippines,AHENTE,People & Blogs,100.0,Philippines,,46.7,50.7,45.9,48.8,49.4,49.9,50.0,49.8,53.1,55.5,54.3,55.9,58.7,62.7,50.8,59.6,55.2
70,Senegal,Scary Teacher 3D vs Squid Game Baby Drawing Challenge Nick Loser and Tani Winner #shortsvideo,People & Blogs,100.0,Senegal,,44.2,46.8,46.8,43.4,43.7,38.3,36.7,36.5,44.0,46.2,46.0,46.8,47.7,54.9,47.6,49.0,48.5
71,Senegal,"Dama seuy sikaw eumbeu: Amina famille sénégalaise répond Pape Ndoye et brise le silence"" daf ma eumb",People & Blogs,50.0,Senegal,,44.2,46.8,46.8,43.4,43.7,38.3,36.7,36.5,44.0,46.2,46.0,46.8,47.7,54.9,47.6,49.0,48.5
72,Croatia,Jesam im kupila ili nisam?😅,People & Blogs,50.0,Croatia,,,58.2,,54.3,56.0,53.9,60.3,58.9,53.8,52.0,54.2,53.4,55.4,56.3,65.1,62.9,61.3
73,Hungary,"A MARKETING LEGALJA?! | 2okos, Mobilfox, Balázskicks - Mennyit ér a becsület?",People & Blogs,100.0,Hungary,51.9,,49.5,,49.0,47.3,49.2,46.8,49.1,51.8,53.4,54.5,60.6,59.4,60.0,60.4,62.3,60.4
74,Indonesia,NYOBAIN MAKAN DI PINGGIR JALAN MERTUA JEPANG MALAH MAKIN JATUH CINTA SAMA INDONESIA,People & Blogs,50.0,Indonesia,,49.5,51.0,48.1,54.7,54.6,51.7,53.7,52.9,56.0,50.4,51.4,51.0,53.4,53.5,48.3,54.3,52.8
75,Indonesia,AKHIRNYA BISA PULANG KAMPUNG JUGA DI JERMAN,People & Blogs,100.0,Indonesia,,49.5,51.0,48.1,54.7,54.6,51.7,53.7,52.9,56.0,50.4,51.4,51.0,53.4,53.5,48.3,54.3,52.8
76,Iceland,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Iceland,,,,68.9,,,,75.9,75.0,,75.0,75.1,74.8,,75.3,75.8,75.7,75.3
77,Iceland,Is it a Solid or a Liquid 😳,People & Blogs,50.0,Iceland,,,,68.9,,,,75.9,75.0,,75.0,75.1,74.8,,75.3,75.8,75.7,75.3
78,Iceland,SIDEMEN AMONG US BUT YOU CAN REWIND TIME,People & Blogs,0.0,Iceland,,,,68.9,,,,75.9,75.0,,75.0,75.1,74.8,,75.3,75.8,75.7,75.3
80,Italy,HAI 12 ANNI e vai a VENDERE i TUOI GIOCHI DELLA PLAYSTATION - Gabriele Vagnato,People & Blogs,0.0,Italy,68.5,,65.7,67.8,63.3,63.5,60.6,58.4,60.1,60.3,58.5,59.5,62.0,65.2,64.5,64.9,64.7,64.0
81,Japan,また壁を破壊したガードマンがレイジーハウスで働く事になりました。,People & Blogs,50.0,Japan,65.2,,62.4,59.1,58.5,60.6,62.6,59.7,59.6,59.2,58.8,59.5,59.1,57.9,59.1,61.2,60.9,61.3
82,Japan,ストリートピアノ演奏中に突撃して歌ってみた！,People & Blogs,50.0,Japan,65.2,,62.4,59.1,58.5,60.6,62.6,59.7,59.6,59.2,58.8,59.5,59.1,57.9,59.1,61.2,60.9,61.3
83,South Korea,[EN/JP] 보조 게이 앓다 죽을 이상형 💎변우석💎 l 홍석천의 보석함 시즌2 EP.08,People & Blogs,50.0,South Korea,,53.3,57.7,53.9,56.5,61.2,69.5,60.0,59.6,58.0,57.8,59.7,58.7,58.4,59.0,57.9,61.1,59.5
84,South Korea,내가 일어선 모습을 처음 본 지은이의 반응,People & Blogs,50.0,South Korea,,53.3,57.7,53.9,56.5,61.2,69.5,60.0,59.6,58.0,57.8,59.7,58.7,58.4,59.0,57.9,61.1,59.5
85,Luxembourg,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Luxembourg,,,,,69.6,71.0,71.0,69.6,71.3,68.9,67.0,69.7,70.6,72.4,74.0,,,72.3
86,Lithuania,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Lithuania,,59.5,58.1,55.5,54.7,50.7,54.3,57.7,56.0,61.3,57.1,58.7,62.7,63.1,60.6,63.9,68.7,67.6
87,Latvia,"Хованский — побег из России, донат от Мелстроя, концерт Моргена, свадьба и гайд на скуфа",People & Blogs,50.0,Latvia,,47.1,46.7,51.5,46.7,,49.7,51.3,50.7,57.3,58.8,59.4,59.8,59.0,59.7,62.3,63.5,62.1
88,Norway,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Norway,,74.2,,76.3,,,,76.8,,74.4,76.0,76.0,75.8,74.4,74.4,72.9,73.6,73.2
89,Norway,Is it a Solid or a Liquid 😳,People & Blogs,50.0,Norway,,74.2,,76.3,,,,76.8,,74.4,76.0,76.0,75.8,74.4,74.4,72.9,73.6,73.2
90,Netherlands,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Netherlands,74.6,,74.5,76.3,,75.0,75.6,74.7,74.1,73.2,73.2,75.4,74.6,74.6,74.3,75.0,73.1,74.0
91,Poland,Taka tam gąbeczka💕🥹 Jego reakcja bezcenna..😂😂 #shorts,People & Blogs,50.0,Poland,55.9,,58.9,,57.7,58.9,56.5,58.8,57.5,57.5,60.1,61.6,62.0,61.1,62.4,61.4,59.8,62.6
92,Poland,Żyjemy w Domu GENZIE Dopóki Nas Nie Znajdą,People & Blogs,50.0,Poland,55.9,,58.9,,57.7,58.9,56.5,58.8,57.5,57.5,60.1,61.6,62.0,61.1,62.4,61.4,59.8,62.6
93,Brazil,SENSI ATUALIZADA PARA NOVA ATUALIZAÇÃO! 🤯🔞 a MELHOR SENSIBILIDADE para SUBIR CAPA no FREE FIRE,People & Blogs,50.0,Brazil,66.4,,63.2,66.9,70.0,68.4,70.4,66.6,71.4,69.8,65.5,63.8,63.3,61.9,64.5,61.1,60.1,61.3
94,Portugal,Conteúdo do Batáguas EP05 - Marcelo e as gémeas brasileiras + Mulheres na cozinha em 2024 + Logotipo,People & Blogs,50.0,Portugal,,54.0,,57.2,,51.0,52.2,49.9,51.6,51.3,50.8,54.5,57.1,59.2,61.0,57.7,61.8,59.7
