,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
96,Mexico,El Malilla - Dime (Video Oficial) ft Maury,Music,50.0,Mexico,65.8,,65.3,68.3,69.6,68.0,69.1,73.2,74.4,66.8,62.4,68.2,64.1,65.5,64.3,59.6,59.9,63.3
97,Mexico,"DJ Snake, Peso Pluma - Teka (Official Lyric Video)",Music,50.0,Mexico,65.8,,65.3,68.3,69.6,68.0,69.1,73.2,74.4,66.8,62.4,68.2,64.1,65.5,64.3,59.6,59.9,63.3
98,Nicaragua,"BESAME REMIX - BHAVI, SEVEN KAYNE, MILO J, TIAGO PZK, KHEA, NEO PISTEA",Music,0.0,Nicaragua,,44.6,49.4,51.0,53.5,56.9,53.9,54.5,57.7,62.8,59.2,60.1,64.8,58.2,61.1,62.9,61.0,62.6
99,Nicaragua,BTS (방탄소년단) BTS POP-UP : MONOCHROME Official Trailer,Music,100.0,Nicaragua,,44.6,49.4,51.0,53.5,56.9,53.9,54.5,57.7,62.8,59.2,60.1,64.8,58.2,61.1,62.9,61.0,62.6
100,Panama,"BESAME REMIX - BHAVI, SEVEN KAYNE, MILO J, TIAGO PZK, KHEA, NEO PISTEA",Music,0.0,Panama,,61.3,68.9,69.3,70.3,73.2,72.5,68.6,68.7,66.3,66.1,61.2,65.7,62.8,60.9,,65.5,62.6
101,Panama,BTS (방탄소년단) BTS POP-UP : MONOCHROME Official Trailer,Music,100.0,Panama,,61.3,68.9,69.3,70.3,73.2,72.5,68.6,68.7,66.3,66.1,61.2,65.7,62.8,60.9,,65.5,62.6
102,Peru,Sabrina Carpenter - Espresso (Official Video),Music,50.0,Peru,,48.1,52.1,51.3,55.2,56.1,58.9,58.3,57.8,58.7,55.8,57.0,57.1,56.8,60.0,49.9,56.9,55.3
103,Peru,"Feid, Yandel - MANIFESTING 20-05 (Official Videos)",Music,50.0,Peru,,48.1,52.1,51.3,55.2,56.1,58.9,58.3,57.8,58.7,55.8,57.0,57.1,56.8,60.0,49.9,56.9,55.3
104,Peru,Dua Lipa - Illusion (Official Music Video),Music,100.0,Peru,,48.1,52.1,51.3,55.2,56.1,58.9,58.3,57.8,58.7,55.8,57.0,57.1,56.8,60.0,49.9,56.9,55.3
105,Peru,"Lui5, Gabriel Drago, MNZR - LOKITO SUICIDA (Official Video)",Music,50.0,Peru,,48.1,52.1,51.3,55.2,56.1,58.9,58.3,57.8,58.7,55.8,57.0,57.1,56.8,60.0,49.9,56.9,55.3
