,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
21,Kazakhstan,ЗРЯ Я 24 ЧАСА СТОЯЛ НА ГВОЗДЯХ! #нонале,Comedy,3.5,Kazakhstan,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0
22,Luxembourg,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,3.5,Luxembourg,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,Norway,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,3.5,Norway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Netherlands,Hij kan niet zwemmen 🏊‍♂️ Heb jij al gezwommen dit jaar? 🤔🏊,Comedy,3.5,Netherlands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,Netherlands,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,3.5,Netherlands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Brazil,"Entrevista com Vincent Martella, o ""Greg"", de ""Todo Mundo Odeia o Chris"" | The Noite (16/04/24)",Comedy,3.5,Brazil,5.0,5.0,4.0,4.5,4.5,4.5,4.0,3.5,3.5,3.5,,3.0,3.0,2.5,2.0,2.0,2.5,2.0,2.5,2.5,2.5,3.5,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.0,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5
27,Brazil,CAMPEÃO! 👑 Davi fala da sensação de VENCER O BBB 24! 💥 | A Invasão | Multishow,Comedy,3.5,Brazil,5.0,5.0,4.0,4.5,4.5,4.5,4.0,3.5,3.5,3.5,,3.0,3.0,2.5,2.0,2.0,2.5,2.0,2.5,2.5,2.5,3.5,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.0,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5
28,Russia,Каха и фастфуд  #непосредственнокаха,Comedy,3.5,Russia,,,,,,,,,,,,,,,,,,,,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
29,Russia,МУЖСКОЕ И ЖЕНСКОЕ. ПАРОДИЯ.  #иванабрамов #звезды #shorts,Comedy,3.5,Russia,,,,,,,,,,,,,,,,,,,,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
30,Russia,ЗРЯ Я 24 ЧАСА СТОЯЛ НА ГВОЗДЯХ! #нонале,Comedy,3.5,Russia,,,,,,,,,,,,,,,,,,,,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
31,Slovenia,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,3.5,Slovenia,,,,,,,,,,,,,,,,,,,,2.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
32,Sweden,Vi byter liv med 3 kändisar,Comedy,7.0,Sweden,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,Ukraine,ЗРЯ Я 24 ЧАСА СТОЯЛ НА ГВОЗДЯХ! #нонале,Comedy,3.5,Ukraine,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,2.5,2.5,2.5,2.5,2.5,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.5,3.0,3.5,3.0,4.0
34,Ukraine,ДЖЕЙХУН САФАРОВ і ЛЕВИ НА ДЖИПІ в ДЗК на ВИЖИВАННЯ,Comedy,3.5,Ukraine,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,2.5,2.5,2.5,2.5,2.5,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.5,3.0,3.5,3.0,4.0
35,Ukraine,Каха и фастфуд  #непосредственнокаха,Comedy,3.5,Ukraine,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,2.5,2.5,2.5,2.5,2.5,3.0,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.5,3.0,3.5,3.0,4.0
36,Vietnam,TRÙM BẢO KÊ #funny #nec #viral #comedy #foryou #trending #vietnamese #bruh #shorts,Comedy,3.5,Vietnam,5.8,5.8,5.8,7.0,7.0,7.0,7.0,7.0,7.0,6.5,,6.5,6.5,7.0,7.0,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5
37,Liechtenstein,She doesn’t want to leave Africa😳 @isabellaafro #africa #trendingshorts #bluemonday #travel,Comedy,3.5,Liechtenstein,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
