,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
25,Italy,Genial gadget para almacenar y lavar lentes de Let's GLOW,Howto & Style,3.5,Italy,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,1.5,1.5,,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Georgia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Georgia,,,,,,,,,,,,,,,,,,,,5.5,4.5,5.0,5.0,4.5,4.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0,4.0,4.0,4.0,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5
27,Kazakhstan,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Kazakhstan,,,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0
28,Luxembourg,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Luxembourg,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Lithuania,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Lithuania,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5
30,Latvia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Latvia,,,,,,,,,,,,,,,,,,,,2.5,3.0,3.0,2.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,1.5,2.0,2.0,1.5,1.5,1.5,1.5
31,North Macedonia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,North Macedonia,,,,,,,,,,,,,,,,,,,,,3.5,3.0,3.5,3.5,3.5,3.5,3.0,3.0,3.5,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0
32,Malaysia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Malaysia,2.5,2.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,3.5,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
33,Nepal,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Nepal,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,3.5,3.5,,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.0,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.5,5.0,5.5,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
34,Nepal,aj Papa k liye banaya Cotton Candy Cup Cake🤓 #shorts #spicyfoodcorner #shortvideo,Howto & Style,7.0,Nepal,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,3.5,3.5,,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.0,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.5,5.0,5.5,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
35,Nepal,Hajmola is bachpan ka pyaar #ytshorts #shorts,Howto & Style,0.0,Nepal,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,3.5,3.5,,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.0,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.5,5.0,5.5,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
